JUnit version 4.13.2
2024-11-12 17:37:32,920 INFO  EvoClassLoader - Keeping class: org.apache.log4j.Category
2024-11-12 17:37:32,920 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.Logger
2024-11-12 17:37:32,920 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.Logger'.
2024-11-12 17:37:32,920 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/Logger
2024-11-12 17:37:32,921 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/log4j/Logger
2024-11-12 17:37:32,921 INFO  EvoClassLoader - Keeping class: org.apache.log4j.Logger
2024-11-12 17:37:32,921 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.Priority
2024-11-12 17:37:32,921 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.Priority'.
2024-11-12 17:37:32,921 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/Priority
2024-11-12 17:37:32,922 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/log4j/Priority
2024-11-12 17:37:32,922 INFO  EvoClassLoader - Keeping class: org.apache.log4j.Priority
2024-11-12 17:37:32,922 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.Level
2024-11-12 17:37:32,922 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.Level'.
2024-11-12 17:37:32,922 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/Level
2024-11-12 17:37:32,923 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/log4j/Level
2024-11-12 17:37:32,923 INFO  EvoClassLoader - Keeping class: org.apache.log4j.Level
2024-11-12 17:37:32,925 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.LogManager
2024-11-12 17:37:32,925 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.LogManager'.
2024-11-12 17:37:32,925 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/LogManager
2024-11-12 17:37:32,928 INFO  CreateClassResetClassAdapter - Found static initializer in class org/apache/log4j/LogManager
2024-11-12 17:37:32,929 INFO  EvoClassLoader - Keeping class: org.apache.log4j.LogManager
2024-11-12 17:37:32,929 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.RootLogger
2024-11-12 17:37:32,929 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.RootLogger'.
2024-11-12 17:37:32,929 INFO  MethodCallReplacementClassAdapter - Adding mock interface to class org/apache/log4j/spi/RootLogger
2024-11-12 17:37:32,930 INFO  CreateClassResetClassAdapter - Creating brand-new static initializer in class org/apache/log4j/spi/RootLogger
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.RootLogger
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.LoggerRepository
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Instrumenting class 'org.apache.log4j.spi.LoggerRepository'.
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Keeping class: org.apache.log4j.spi.LoggerRepository
2024-11-12 17:37:32,931 INFO  EvoClassLoader - Seeing class for first time: org.apache.log4j.spi.RepositorySelector
